spaceIndex,spaceId,spaceSymbol,spaceAddress,proposalId,proposalTitle,proposalBody,proposalChoices,proposalStart,proposalStart.1,proposalEnd,proposalSanpshot,proposalAuth,proposalSpace,voteId,voteVoter,voteCreated,voteChoice,voteSpace
3207,7,7,7,7,7,7,7,7,7,7,0,7,7,7,7,7,7,0
3208,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3211,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
3212,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
3214,82,82,82,82,82,77,82,82,82,82,0,82,82,82,82,82,82,0
3215,70,70,70,70,70,70,70,70,70,70,0,70,70,70,70,70,70,0
3216,24,24,24,24,24,24,24,24,24,24,0,24,24,24,24,24,24,0
3217,3,3,3,3,3,3,3,3,3,3,0,3,3,3,3,3,3,0
3222,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
3223,9,9,9,9,9,2,9,9,9,9,0,9,9,9,9,9,9,0
3228,220,220,220,220,220,44,220,220,220,220,0,220,220,220,220,220,220,0
3229,219,219,219,219,219,44,219,219,219,219,0,219,219,219,219,219,219,0
3231,3,3,3,3,3,0,3,3,3,3,0,3,3,3,3,3,3,0
3232,130,130,130,130,130,0,130,130,130,130,0,130,130,130,130,130,130,0
3235,44,44,44,44,44,0,44,44,44,44,0,44,44,44,44,44,44,0
3236,44,44,44,44,44,0,44,44,44,44,0,44,44,44,44,44,44,0
3238,44,44,44,44,44,0,44,44,44,44,0,44,44,44,44,44,44,0
3240,43,43,43,43,43,0,43,43,43,43,0,43,43,43,43,43,43,0
3242,153,153,153,153,153,153,153,153,153,153,0,153,153,153,153,153,153,0
3244,44,44,44,44,44,0,44,44,44,44,0,44,44,44,44,44,44,0
3245,176,176,176,176,176,0,176,176,176,176,0,176,176,176,176,176,176,0
