spaceIndex,spaceId,spaceSymbol,spaceAddress,proposalId,proposalTitle,proposalBody,proposalChoices,proposalStart,proposalStart.1,proposalEnd,proposalSanpshot,proposalAuth,proposalSpace,voteId,voteVoter,voteCreated,voteChoice,voteSpace
2761,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
2763,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
2766,2,2,2,2,2,1,2,2,2,2,0,2,2,2,2,2,2,0
2767,4,4,4,4,4,4,4,4,4,4,0,4,4,4,4,4,4,0
2768,3,3,3,3,3,2,3,3,3,3,0,3,3,3,3,3,3,0
2770,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
2771,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,0
2772,8,8,8,8,8,0,8,8,8,8,0,8,8,8,8,8,8,0
2773,3,3,3,3,3,0,3,3,3,3,0,3,3,3,3,3,3,0
2775,3,3,3,3,3,2,3,3,3,3,0,3,3,3,3,3,3,0
2776,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,0
2779,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
2781,8,8,8,8,8,0,8,8,8,8,0,8,8,8,8,8,8,0
2782,572,572,572,572,572,71,572,572,572,572,0,572,572,572,572,572,572,0
2785,59,59,59,59,59,36,59,59,59,59,0,59,59,59,59,59,59,0
2786,4,4,4,4,4,0,4,4,4,4,0,4,4,4,4,4,4,0
2787,5,5,5,5,5,0,5,5,5,5,0,5,5,5,5,5,5,0
2789,16182,16182,16182,16182,16182,0,16182,16182,16182,16182,0,16182,16182,16182,16182,16182,16182,0
2792,3,3,3,3,3,0,3,3,3,3,0,3,3,3,3,3,3,0
2793,9,9,9,9,9,2,9,9,9,9,0,9,9,9,9,9,9,0
2794,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
2795,99,99,99,99,99,12,99,99,99,99,0,99,99,99,99,99,99,0
2796,16055,16055,16055,16055,16055,0,16055,16055,16055,16055,0,16055,16055,16055,16055,16055,16055,0
2798,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
2800,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,0
2801,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0
2802,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,0
2805,16094,16094,16094,16094,16094,0,16094,16094,16094,16094,0,16094,16094,16094,16094,16094,16094,0
2808,16115,16115,16115,16115,16115,0,16115,16115,16115,16115,0,16115,16115,16115,16115,16115,16115,0
2810,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
2812,4,4,4,4,4,0,4,4,4,4,0,4,4,4,4,4,4,0
2813,22032,22032,22032,22032,22032,0,22032,22032,22032,22032,0,22032,22032,22032,22032,22032,22032,0
2816,22274,22274,22274,22274,22274,0,22274,22274,22274,22274,0,22274,22274,22274,22274,22274,22274,0
2817,22271,22271,22271,22271,22271,0,22271,22271,22271,22271,0,22271,22271,22271,22271,22271,22271,0
2818,4,4,4,4,4,0,4,4,4,4,0,4,4,4,4,4,4,0
2821,22231,22231,22231,22231,22231,0,22231,22231,22231,22231,0,22231,22231,22231,22231,22231,22231,0
2823,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
2824,4,4,4,4,4,0,4,4,4,4,0,4,4,4,4,4,4,0
2825,22145,22145,22145,22145,22145,0,22145,22145,22145,22145,0,22145,22145,22145,22145,22145,22145,0
2826,8,8,8,8,8,6,8,8,8,8,0,8,8,8,8,8,8,0
2827,22646,22646,22646,22646,22646,0,22646,22646,22646,22646,0,22646,22646,22646,22646,22646,22646,0
2830,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
2831,5,5,5,5,5,0,5,5,5,5,0,5,5,5,5,5,5,0
2832,22487,22487,22487,22487,22487,0,22487,22487,22487,22487,0,22487,22487,22487,22487,22487,22487,0
2833,22300,22300,22300,22300,22300,0,22300,22300,22300,22300,0,22300,22300,22300,22300,22300,22300,0
2835,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
2836,37,37,37,37,37,0,37,37,37,37,0,37,37,37,37,37,37,0
2837,17,17,17,17,17,8,17,17,17,17,0,17,17,17,17,17,17,0
2839,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
2847,2,2,2,2,2,0,2,2,2,2,0,2,2,2,2,2,2,0
2848,256,256,256,256,256,256,256,256,256,256,0,256,256,256,256,256,256,0
